href,title,reviewNum,tag,brand,company,howToUse,ingredients,image,volume,price,totalScore,satisfactionScore,priceScore,rebuyScore,commenter,commentDate,commentContent,commentGood,commentBad
,,,,,,,,,,,,60%,100%,60%,이아갸니,  4년 전    ,," 머리카락에 힘이 좀 들어가는 느낌입니다.
처음 사용 할태는 두피에 시원한 느낌이 났었는데 오래 사용하니 그런 느낌은 안드네요 ", 실제로 발모효과는 없는 거 같아요  
,,,,,,,,,,,,60%,60%,60%,눈팅밤팅재부팅,  4년 전    ,, 머리를 감으면 시원하고 좋습니다                                                                                      . , 효과는 모르겠어요  
,,,,,,,,,,,,40%,60%,20%,박길동,  4년 전    ,, 삼푸형태라 사용이 간편함. 직구하면 가격은 저렴했던 걸로 기억함. 시원한 느낌이 나고 각질은 줄어드는듯 , 2분 이상 두피 마사지하면 두통이 생김  
,,,,,,,,,,,,80%,80%,80%,모나완성,  4년 전    ,," 독일에서 직구했는데 우선 머리가 시원하고 상쾌한 느낌이 납니다.
이 샴푸 쓴 이후로 머리가 한꺼번에 빠진다던가 하는 적은 없었네요. "," 장기간 쓰면 머리가 약간 뻣뻣해지는 느낌 있어요,  "
,,,,,,,,,,,,60%,60%,60%,군필여고생,  4년 전    ,, 싸고 구하기 쉽다. 세정력 좋고 개인적으로 향기도 좋음. 특히 여름에 개운하고 시원한 느낌이 돌아 상쾌함. , 약간 자극적이라 피부 민감한 사람들에게는 호불호 갈릴 수 있음  
,,,,,,,,,,,,40%,100%,20%,heicoendo,  4년 전    ,, 우선 향이 괜찮습니다. 그리고 가격이 매우 저렴한 편이라서 가격적으로 장점이 있어요. 시원한 느낌도 듭니다. , 효과를 딱히 못느꼈네요  
,,,,,,,,,,,,60%,60%,60%,sodidu,  4년 전    ,," 삼푸로 감으면 시원한 느낌을 받고 제가 써보았던 샴푸중에서는 가장 좋았던 것 같아요 
마트나 올리브영에 있으니 사기도 편합니다. ", 탈묘효괴에는 모르겠다  
,,,,,,,,,,,,100%,100%,100%,침대늘보,  4년 전    ,," 이 삼푸로 감으면 시원한 느낌을 받고 제가 써보았던 샴푸중에서는
가장 좋았던 것 같아요
마트나 올리브영에 있으니 사기도 편합니다.  ",
,,,,,,,,,,,,20%,40%,20%,베쨩,  4년 전    ,," 일단은 두피가 시원합니다.
여름에 샴푸로 쓰기에 괜찮은거 같아요.
마트나 올리브영같은 곳에서도 팔아서 쉽게 구할수잇음  ",
,,,,,,,,,,,,60%,60%,60%,오호롤로,  4년 전    ,, 이거 쓰고 머리시원해지는거는 있음이거 쓰고 머리시원해지는거는 있음이거 쓰고 머리시원해지는거는 있음이거 쓰고 머리시원해지는거는 있음 , 이거 쓰고 머리시원해지는거는 있음  
https://daedamo.com/ingre/110?sca=탈모관련상품&overlaps=5,"
            알페신 카페인샴푸 C1        ",418.0,두피샴푸,알페신,,젖은 머리에 샴푸를 묻혀 거품을 낸 뒤 카페인 복합 성분이 작용할 수 있도록 두피에 닿은 순간부터 최소2분간 마사지하고 헹궈내세요.,"정제수, 소듐라우레스설페이트, 카페인, 디소듐라우레스설포석시네이트, 라우레스-2, 판테놀, 소듐클로라이드, 소듐라우로얄글루타메이트, 시트릭애씨드, 디소듐이디티에이, 하이드롤라이즈드밀단백질, 리모넨, 멘톨, 나이아신아마이드, 향로, 피이지-120메칠글루코오스디올리에이트, 피이지-40하이드로제네이티드캐스터오일, 소듐시트레이트, 폴리쿼터늄-7, 토코페롤, 포타슘소르베이트, 징크피씨에이, 소듐벤조에이트, 페녹시에탄올, 프로필파라벤, 청색1호, 자색401호, 메칠파라벤",https://daedamo.com/new/data/file/ingre/1794346571_71ef94ef_1-1.jpg,250ml,"20,000원",,60%,40%,80%,범고래돌고래,  9달 전    ,," 샴푸할때 세정력도 좋은 편이고 무엇보다 시원한 느낌이 드는것이 너무 좋아요
하지만 탈모 완화에 대한 효과는 6개월째 사용중인데 못느꼈습니다 아무래도 샴푸니까 효과를 기대하긴 어렵습니다
꽤나 시원해서 계속 구매해서 사용할 생각입니다  ",
,,,,,,,,,,,,80%,100%,100%,아웅이끼여어,  4년 전    ,, 샴푸에 머리를 연하게 하는 성분이 없는지 샴푸 후에 머리가 좀 뻣뻣해지면서 바람에 덜 흩날리게 도와주는 것 같아요. , 펌핑 용기가 아니고 손으로 용기를 짤아서 써야해요.  
,,,,,,,,,,,,40%,40%,60%,탈모코끼리,  4년 전    ,," 올리브영에서 구매해 저녁에만 사용합니다
머리가 깨끗하게 씻기는 느낌이 나고 시원합니다
머리 마사지도 같이 하고 있습니다 ", 효과는 따로 느끼진 못했습니다  
,,,,,,,,,,,,20%,20%,20%,gengs,  4년 전    ,," 코스트코에서 저렴하게 구입하여 사용중이며, 모발의 청량감이 있고 샴프후 모발이 빳빳한 듯한 느낌이 드는(심리적, 주관적) 듯 함 "," 하지만, 탈모개선은 안됨  "
,,,,,,,,,,,,40%,60%,40%,녹색전차해모수,  4년 전    ,, 독일산 카페인 샴푸로써 사용시 청량감이 많이 느껴지고 모발에 힘을 주는 것이 느껴지는 것이 장점임. 가격도 나쁘지 않음. , 냄새가 별로임...  
,,,,,,,,,,,,80%,60%,80%,평촌사랑,  4년 전    ,, 뭐랄까 일단 사용하고나서 머리 청량감은 있는것 같습니다. 저는 미녹시딜과 함깨 사용하는데 기분탓인지 최근에는 좀 덜빠지는것 같습니다. 비듬도 많이 생기지는 않아요  ,
,,,,,,,,,,,,40%,40%,40%,득모순삭,  4년 전    ,, 두피가 시원해져요 좋습니다  ,
,,,,,,,,,,,,80%,80%,100%,에네르기파아,  4년 전    ,, 이거 쓰고 비듬이 많이 없어졌어요. 냄새도 좋아요~^^  ,
,,,,,,,,,,,,40%,60%,40%,0227kd,  4년 전    ,, 진짜 머리감고 시원한건 인정. 탈모효과는 글쎄....  ,
,,,,,,,,,,,,60%,60%,80%,홍도,  4년 전    ,, 개인적으로 지루성 피부염에 효과가 있었습니다.  ,
,,,,,,,,,,,,60%,0%,0%,피나스로정,  4년 전    ,, 직구해서 썼었는데 시원한감은 있습니다. , 거품이 복불복이고 크게 효과는 못봤습니다.  
,,,,,,,,,,,,60%,0%,0%,shpark,  4년 전    ,, 독일산 카페인샴푸라 고급진느낌이나네요 , 다만 가격이 조금 비싼것같아요  
,,,,,,,,,,,,40%,0%,0%,피혼,  4년 전    ,, 두피가 시원해지는 느낌 , 향이 별로입니다.  이미 시작 된 탈모엔 개선 효과가 있다고 볼 수 없네요.  
,,,,,,,,,,,,80%,0%,0%,이뿌니넬,  4년 전    ,, 시원하고 좋았어요 도움되는것같아요 , 양이너무 적어요.ㅎ  
,,,,,,,,,,,,60%,0%,0%,지마,  4년 전    ,, 시원해요ㅡ 머리감고 나서도 , 거품이 잘 안났어요 ㅡ  
,,,,,,,,,,,,60%,0%,0%,anf,  4년 전    ,, 시원합니다 나름 괜찮아요 , 다른제품들과 같이 머리는 빠집니다 ㅠㅠ  
,,,,,,,,,,,,40%,0%,0%,간지만수,  4년 전    ,, 이 샴푸로 감으면 머리카락이 뽀득뽀득한 느낌이 날정도로 시원합니다 , 머리가 덜빠진다는 느낌은 딱히 없네요  
,,,,,,,,,,,,80%,0%,0%,neeeds,  4년 전    ,," 확실히 세정력 시원함은 기본
기분탓인지 머리카락이 좀 강해진 느낌 ", 
,,,,,,,,,,,,100%,0%,0%,어린왕자11,  4년 전    ,, 샘푸가 너무 너무 좋아요 ㅋㅋ , 샘푸가 너무 너무 좋아요 ㅋㅋ  
,,,,,,,,,,,,60%,0%,0%,k201416,  4년 전    ,, 머리가 시원하다는 느낌 , 향이 너무 아쉬받고 생각  
,,,,,,,,,,,,40%,0%,0%,과수원장,  4년 전    ,, 향이나 거품이나 나름 괜츊 , 탈모 자체에 효과성은 그닥  
https://daedamo.com/ingre/110?sca=탈모관련상품&overlaps=5,"
            알페신 카페인샴푸 C1        ",418.0,두피샴푸,알페신,,젖은 머리에 샴푸를 묻혀 거품을 낸 뒤 카페인 복합 성분이 작용할 수 있도록 두피에 닿은 순간부터 최소2분간 마사지하고 헹궈내세요.,"정제수, 소듐라우레스설페이트, 카페인, 디소듐라우레스설포석시네이트, 라우레스-2, 판테놀, 소듐클로라이드, 소듐라우로얄글루타메이트, 시트릭애씨드, 디소듐이디티에이, 하이드롤라이즈드밀단백질, 리모넨, 멘톨, 나이아신아마이드, 향로, 피이지-120메칠글루코오스디올리에이트, 피이지-40하이드로제네이티드캐스터오일, 소듐시트레이트, 폴리쿼터늄-7, 토코페롤, 포타슘소르베이트, 징크피씨에이, 소듐벤조에이트, 페녹시에탄올, 프로필파라벤, 청색1호, 자색401호, 메칠파라벤",https://daedamo.com/new/data/file/ingre/1794346571_71ef94ef_1-1.jpg,250ml,"20,000원",,60%,40%,80%,범고래돌고래,  9달 전    ,," 샴푸할때 세정력도 좋은 편이고 무엇보다 시원한 느낌이 드는것이 너무 좋아요
하지만 탈모 완화에 대한 효과는 6개월째 사용중인데 못느꼈습니다 아무래도 샴푸니까 효과를 기대하긴 어렵습니다
꽤나 시원해서 계속 구매해서 사용할 생각입니다  ",
,,,,,,,,,,,,80%,100%,100%,아웅이끼여어,  4년 전    ,, 샴푸에 머리를 연하게 하는 성분이 없는지 샴푸 후에 머리가 좀 뻣뻣해지면서 바람에 덜 흩날리게 도와주는 것 같아요. , 펌핑 용기가 아니고 손으로 용기를 짤아서 써야해요.  
,,,,,,,,,,,,40%,40%,60%,탈모코끼리,  4년 전    ,," 올리브영에서 구매해 저녁에만 사용합니다
머리가 깨끗하게 씻기는 느낌이 나고 시원합니다
머리 마사지도 같이 하고 있습니다 ", 효과는 따로 느끼진 못했습니다  
,,,,,,,,,,,,20%,20%,20%,gengs,  4년 전    ,," 코스트코에서 저렴하게 구입하여 사용중이며, 모발의 청량감이 있고 샴프후 모발이 빳빳한 듯한 느낌이 드는(심리적, 주관적) 듯 함 "," 하지만, 탈모개선은 안됨  "
,,,,,,,,,,,,40%,60%,40%,녹색전차해모수,  4년 전    ,, 독일산 카페인 샴푸로써 사용시 청량감이 많이 느껴지고 모발에 힘을 주는 것이 느껴지는 것이 장점임. 가격도 나쁘지 않음. , 냄새가 별로임...  
,,,,,,,,,,,,80%,60%,80%,평촌사랑,  4년 전    ,, 뭐랄까 일단 사용하고나서 머리 청량감은 있는것 같습니다. 저는 미녹시딜과 함깨 사용하는데 기분탓인지 최근에는 좀 덜빠지는것 같습니다. 비듬도 많이 생기지는 않아요  ,
,,,,,,,,,,,,40%,40%,40%,득모순삭,  4년 전    ,, 두피가 시원해져요 좋습니다  ,
,,,,,,,,,,,,80%,80%,100%,에네르기파아,  4년 전    ,, 이거 쓰고 비듬이 많이 없어졌어요. 냄새도 좋아요~^^  ,
,,,,,,,,,,,,40%,60%,40%,0227kd,  4년 전    ,, 진짜 머리감고 시원한건 인정. 탈모효과는 글쎄....  ,
,,,,,,,,,,,,60%,60%,80%,홍도,  4년 전    ,, 개인적으로 지루성 피부염에 효과가 있었습니다.  ,
,,,,,,,,,,,,60%,0%,0%,피나스로정,  4년 전    ,, 직구해서 썼었는데 시원한감은 있습니다. , 거품이 복불복이고 크게 효과는 못봤습니다.  
,,,,,,,,,,,,60%,0%,0%,shpark,  4년 전    ,, 독일산 카페인샴푸라 고급진느낌이나네요 , 다만 가격이 조금 비싼것같아요  
,,,,,,,,,,,,40%,0%,0%,피혼,  4년 전    ,, 두피가 시원해지는 느낌 , 향이 별로입니다.  이미 시작 된 탈모엔 개선 효과가 있다고 볼 수 없네요.  
,,,,,,,,,,,,80%,0%,0%,이뿌니넬,  4년 전    ,, 시원하고 좋았어요 도움되는것같아요 , 양이너무 적어요.ㅎ  
,,,,,,,,,,,,60%,0%,0%,지마,  4년 전    ,, 시원해요ㅡ 머리감고 나서도 , 거품이 잘 안났어요 ㅡ  
,,,,,,,,,,,,60%,0%,0%,anf,  4년 전    ,, 시원합니다 나름 괜찮아요 , 다른제품들과 같이 머리는 빠집니다 ㅠㅠ  
,,,,,,,,,,,,40%,0%,0%,간지만수,  4년 전    ,, 이 샴푸로 감으면 머리카락이 뽀득뽀득한 느낌이 날정도로 시원합니다 , 머리가 덜빠진다는 느낌은 딱히 없네요  
,,,,,,,,,,,,80%,0%,0%,neeeds,  4년 전    ,," 확실히 세정력 시원함은 기본
기분탓인지 머리카락이 좀 강해진 느낌 ", 
,,,,,,,,,,,,100%,0%,0%,어린왕자11,  4년 전    ,, 샘푸가 너무 너무 좋아요 ㅋㅋ , 샘푸가 너무 너무 좋아요 ㅋㅋ  
,,,,,,,,,,,,60%,0%,0%,k201416,  4년 전    ,, 머리가 시원하다는 느낌 , 향이 너무 아쉬받고 생각  
,,,,,,,,,,,,40%,0%,0%,과수원장,  4년 전    ,, 향이나 거품이나 나름 괜츊 , 탈모 자체에 효과성은 그닥  
https://daedamo.com/ingre/110?sca=탈모관련상품&overlaps=5,"
            알페신 카페인샴푸 C1        ",418.0,두피샴푸,알페신,,젖은 머리에 샴푸를 묻혀 거품을 낸 뒤 카페인 복합 성분이 작용할 수 있도록 두피에 닿은 순간부터 최소2분간 마사지하고 헹궈내세요.,"정제수, 소듐라우레스설페이트, 카페인, 디소듐라우레스설포석시네이트, 라우레스-2, 판테놀, 소듐클로라이드, 소듐라우로얄글루타메이트, 시트릭애씨드, 디소듐이디티에이, 하이드롤라이즈드밀단백질, 리모넨, 멘톨, 나이아신아마이드, 향로, 피이지-120메칠글루코오스디올리에이트, 피이지-40하이드로제네이티드캐스터오일, 소듐시트레이트, 폴리쿼터늄-7, 토코페롤, 포타슘소르베이트, 징크피씨에이, 소듐벤조에이트, 페녹시에탄올, 프로필파라벤, 청색1호, 자색401호, 메칠파라벤",https://daedamo.com/new/data/file/ingre/1794346571_71ef94ef_1-1.jpg,250ml,"20,000원",,60%,40%,80%,범고래돌고래,  9달 전    ,," 샴푸할때 세정력도 좋은 편이고 무엇보다 시원한 느낌이 드는것이 너무 좋아요
하지만 탈모 완화에 대한 효과는 6개월째 사용중인데 못느꼈습니다 아무래도 샴푸니까 효과를 기대하긴 어렵습니다
꽤나 시원해서 계속 구매해서 사용할 생각입니다  ",
,,,,,,,,,,,,60%,0%,0%,alinghi,  4년 전    ,, 개인적으로는 향이 좋았다. , 하지만 막상 탈모에 효과가 있는가?  
,,,,,,,,,,,,80%,0%,0%,효효아빠,  4년 전    ,, 사용하면서 덜 빠진다는 느낌이 있습니다 , 지속적으로 사용하고 있으나 도움이 되나?라는 느낌도 있어요... ㅠㅜ  
,,,,,,,,,,,,60%,0%,0%,용인시민,  4년 전    ,, 시원한 느낌을 받습니다 , 
,,,,,,,,,,,,60%,0%,0%,쑥쑥자라자,  4년 전    ,, 처음에는 머리 시원했는데 사용하다보니 못느낌 , 효과도 잘모르겠고 비싸요  
,,,,,,,,,,,,40%,0%,0%,뽀라도리,  4년 전    ,, 개운하고 상쾌한 느낌이 듭니다 , 때때로 두피가 뜨겁게 느껴짐  
,,,,,,,,,,,,60%,0%,0%,두부쓰,  4년 전    ,, 개인적으로 청량함은 있었음 , 생각보다 기름짐이 빠름  
,,,,,,,,,,,,60%,0%,0%,정PE,  4년 전    ,, 시원해요 시원 청량하다는 느낌에서는 가장 기능이 좋음 , 항상 샴푸는 탈모효과엔 미비하다는점  
,,,,,,,,,,,,60%,0%,0%,신야,  4년 전    ,, 일단 쌉니다 이게단점인지 모르겠지만 머리가 푸석푸석해져서 숱이많이보이더군요 , 저같은경우는 머리에 뭐가 납니다 뾰루지같은거  
,,,,,,,,,,,,100%,0%,0%,오꾸라,  4년 전    ,, 시원한느낌이 좋습니다 , 딱히 없어요 부드럽진않음  
,,,,,,,,,,,,60%,0%,0%,친절한춘삼씨,  4년 전    ,, 시원하고 딱히 거부감이 없습니다. , 모발이 푸석해지는 느낌입니다.  
,,,,,,,,,,,,40%,0%,0%,맥커터,  4년 전    ,, 사실 딱히 , 머릿결이 많이 상하는 느낌입니다. 푸석푸석? 해진다고해야하나  
,,,,,,,,,,,,60%,0%,0%,아시곰,  4년 전    ,, 사용할때 시원해서 좋았습니더 , 꾸준히 써 보았지만 효과가 크게 있는지는 모르겠습니다  
,,,,,,,,,,,,60%,0%,0%,겨털을정수리로,  4년 전    ,, 시원한 느낌이 들어요 , 물같아요 거품이 잘 안나고 2분을 기다려야 해요. 샴푸에서 아저씨 냄새남  
,,,,,,,,,,,,60%,0%,0%,mpeon,  4년 전    ,, 시원하고 스케일링받는 느낌 , 샴푸가 너무 물처럼 나오고 효과는 잘모르겠음  
,,,,,,,,,,,,80%,0%,0%,마지데,  4년 전    ,, 남자스킨향. 개인적으로 좋아하는향. 남자향임 , 그닥 효과를 보진못했음. 그래도 향이 맘에들어 한동안 사용한제품  
,,,,,,,,,,,,60%,0%,0%,댐자룡,  4년 전    ,, 시원한 느낌 매우 강하고 두피가 클린해지는 느낌? , 머리가 떡지는 경향이있었고 뻣뻣해짐  
,,,,,,,,,,,,80%,0%,0%,머머리안녕,  4년 전    ,, 남자의 샴푸라고 느껴짐 향도 그렇구요 , 기대를 많이 했을까 탈모예방이 크게 되는 것같지는 않음  
,,,,,,,,,,,,60%,0%,0%,아직은안됨,  4년 전    ,, 이 제품으로 머리를 감으면 시원해요 , 가격이 좀 비싸요  
,,,,,,,,,,,,80%,0%,0%,빡태,  4년 전    ,, 시원합니다 개운하고요 , 효과를 잘 모루겠어요  
,,,,,,,,,,,,80%,0%,0%,풍성한마음,  4년 전    ,, 거품 후 놔두면 시원한 느낌이 나요 , 다른 제품들에 비해서 가격이 비싸요  
https://daedamo.com/ingre/110?sca=탈모관련상품&overlaps=5,"
            알페신 카페인샴푸 C1        ",418.0,두피샴푸,알페신,,젖은 머리에 샴푸를 묻혀 거품을 낸 뒤 카페인 복합 성분이 작용할 수 있도록 두피에 닿은 순간부터 최소2분간 마사지하고 헹궈내세요.,"정제수, 소듐라우레스설페이트, 카페인, 디소듐라우레스설포석시네이트, 라우레스-2, 판테놀, 소듐클로라이드, 소듐라우로얄글루타메이트, 시트릭애씨드, 디소듐이디티에이, 하이드롤라이즈드밀단백질, 리모넨, 멘톨, 나이아신아마이드, 향로, 피이지-120메칠글루코오스디올리에이트, 피이지-40하이드로제네이티드캐스터오일, 소듐시트레이트, 폴리쿼터늄-7, 토코페롤, 포타슘소르베이트, 징크피씨에이, 소듐벤조에이트, 페녹시에탄올, 프로필파라벤, 청색1호, 자색401호, 메칠파라벤",https://daedamo.com/new/data/file/ingre/1794346571_71ef94ef_1-1.jpg,250ml,"20,000원",,60%,40%,80%,범고래돌고래,  9달 전    ,," 샴푸할때 세정력도 좋은 편이고 무엇보다 시원한 느낌이 드는것이 너무 좋아요
하지만 탈모 완화에 대한 효과는 6개월째 사용중인데 못느꼈습니다 아무래도 샴푸니까 효과를 기대하긴 어렵습니다
꽤나 시원해서 계속 구매해서 사용할 생각입니다  ",
,,,,,,,,,,,,20%,0%,0%,Pattlp,  4년 전    ,, 향은 나쁘지 않았습니다 , 효과없음. 더 쓰기도 아까움 ㅡㅡ  
,,,,,,,,,,,,60%,0%,0%,자라나라스,  4년 전    ,, 머리 감을땐 좋아요 시원하고 , 두피에 맞아야 함 쓰다가 두피에 안맞아서 그냥 헤드엔 숄더 씀  
,,,,,,,,,,,,60%,0%,0%,깜본,  4년 전    ,, 향이 상쾌해서 샴푸시에 기분이 좋습니다 , 딱히 체감될 정도로 탈모방지 효과 없음  
,,,,,,,,,,,,40%,0%,0%,마지막한올,  4년 전    ,, 파퀴아오 vs 메이웨더 때인가? 무지막지하게 광고 나오던거 !!! , 기대 했던것보다는...왜 광고 한거야!!  
,,,,,,,,,,,,40%,0%,0%,그런하람,  4년 전    ,, 상쾌한 느낌이 좋으나 , 향이 별로인거같메요..0  
,,,,,,,,,,,,60%,0%,0%,긍정a,  4년 전    ,, 모발이 힘이 생기는 느낌이예요. , 남자스킨향이라 향에서 호불호가 있어요.  
,,,,,,,,,,,,80%,0%,0%,yskok,  4년 전    ,, 제일 애용하는 샴푸 모발에 힘도나고 개운한 느낑 , 슈퍼에 안파니 구매시 번거로움 정도?  
,,,,,,,,,,,,40%,0%,0%,rsi12,  4년 전    ,, 향이 좋습니다. 남자향수향 이네요 리퀴드와 동일 ," 탈모치료 효과는 있을지 모르겠지만 샴푸 본연의 기능이 떨어집니다.
지성두피는 아침에감으면 오후에 떡져요;  "
,,,,,,,,,,,,40%,0%,0%,아이까꼬우,  4년 전    ,, 확실히 두피가 청결해지는 느낑입니다. , 양에비해 비싸고 효과는 미비합니다.  
,,,,,,,,,,,,80%,0%,0%,코코야,  4년 전    ,, 카페인 샴푸라 모발에 힘이 생기는 듯 합니다. , 양이 작아서 조금 아쉽습니다  
,,,,,,,,,,,,80%,0%,0%,칙칙머스크,  4년 전    ,, 감고나면 시원해서 세정력은 강한듯 한 느낌 , 용기도 별로고 딱히 탈모에 도움이 된다는 느낌은 없었습니다  
,,,,,,,,,,,,80%,0%,0%,신약바라기,  4년 전    ,, 엄청 파워풀한 세정력 , 머리가 너무 뻣뻣해짐  
,,,,,,,,,,,,40%,0%,0%,절실,  4년 전    ,, 시원해서 개운한 감은 많이느껴짐 , 시원하다는 점 밖에 느껴지지않음  
,,,,,,,,,,,,80%,0%,0%,곁벚꽃,  4년 전    ,, 개운한 느낌이 들어요. , 250ml 짜면 많이 나올 때 있어서 별로였는데 최근에 대형 나와서 잘 쓰고있씁니다  
,,,,,,,,,,,,60%,0%,0%,mm22mm,  4년 전    ,, 머리에 시원한 멘솔 샴푸 같은 느낌. , 머릿결이 많이 뻣뻣해져서 오히려 두피에 안좋은 것 같습니다.  
,,,,,,,,,,,,80%,0%,0%,대구ll철이,  4년 전    ,, 머리가 시원하고 상쾌한 기분 ," 향이 별로이며, 효과도 잘,,ㅠ  "
,,,,,,,,,,,,60%,0%,0%,네이머리,  4년 전    ,, 머리가 시원해져서 기분좋아요 , 향이 남자스킨향같은것이 목욕탕 남자스킨향  
,,,,,,,,,,,,40%,0%,0%,카레까스,  4년 전    ,, 확실히 시원하긴했어요 , 근데 그거말고 저도 느끼는게 없네여  
,,,,,,,,,,,,60%,0%,0%,햄머리,  4년 전    ,, 시원한 느낌이 좋습니다 , 별다른 장점은 잘 모르겠습니다  
,,,,,,,,,,,,60%,0%,0%,뚜람뚜람,  4년 전    ,, 독일제라는 믿음입니다. , 효과는 잘 모르게습니다  
https://daedamo.com/ingre/110?sca=탈모관련상품&overlaps=5,"
            알페신 카페인샴푸 C1        ",418.0,두피샴푸,알페신,,젖은 머리에 샴푸를 묻혀 거품을 낸 뒤 카페인 복합 성분이 작용할 수 있도록 두피에 닿은 순간부터 최소2분간 마사지하고 헹궈내세요.,"정제수, 소듐라우레스설페이트, 카페인, 디소듐라우레스설포석시네이트, 라우레스-2, 판테놀, 소듐클로라이드, 소듐라우로얄글루타메이트, 시트릭애씨드, 디소듐이디티에이, 하이드롤라이즈드밀단백질, 리모넨, 멘톨, 나이아신아마이드, 향로, 피이지-120메칠글루코오스디올리에이트, 피이지-40하이드로제네이티드캐스터오일, 소듐시트레이트, 폴리쿼터늄-7, 토코페롤, 포타슘소르베이트, 징크피씨에이, 소듐벤조에이트, 페녹시에탄올, 프로필파라벤, 청색1호, 자색401호, 메칠파라벤",https://daedamo.com/new/data/file/ingre/1794346571_71ef94ef_1-1.jpg,250ml,"20,000원",,60%,40%,80%,범고래돌고래,  9달 전    ,," 샴푸할때 세정력도 좋은 편이고 무엇보다 시원한 느낌이 드는것이 너무 좋아요
하지만 탈모 완화에 대한 효과는 6개월째 사용중인데 못느꼈습니다 아무래도 샴푸니까 효과를 기대하긴 어렵습니다
꽤나 시원해서 계속 구매해서 사용할 생각입니다  ",
,,,,,,,,,,,,60%,0%,0%,음흠냥냥,  4년 전    ,, 확실이 상쾌한 느낌은 많이 들어요~ , 옛날 광고보고 바로 구매했었는데 뭐랄까..크게 와닿지는 않았어요  
,,,,,,,,,,,,60%,0%,0%,그릇치워드릴게요,  4년 전    ,, 딱히 모르겟네요 ㅜ 힘은좀 생기는듯 , 아빠스킨냄새ㅠㅜ  
,,,,,,,,,,,,60%,0%,0%,그릇치워드릴게요,  4년 전    ,, 딱히 모르겟네요 힘은 좀 생기는듯 , 냄새가 아빠스킨냄새ㅠ  
,,,,,,,,,,,,60%,0%,0%,거친침대기술,  4년 전    ,," 저는 개인적으로 좋아요, 개운한 느낌이 듭니다. ", 거품이 잘 안나요  
,,,,,,,,,,,,40%,0%,0%,이긴다나는,  4년 전    ,, 쓰면 시원한 감이 있어요 , 효과는 잘 모르겠어요  
,,,,,,,,,,,,60%,0%,0%,ATA,  4년 전    ,, 남성스러움 물씬나는 향기와 시원한 두피쿨링 , 저는 탈모완화에 효과를 보지 못했습니다.  
,,,,,,,,,,,,60%,0%,0%,diplo1151,  4년 전    ,, 머리가 화해지는 느낌?? , 효과가 크진않은것같아요. 다른 걸로 갈아탈려고요.  
,,,,,,,,,,,,60%,0%,0%,저스트득모,  4년 전    ,, 시원 합니다. 남자향이 느껴져요. , 거품도 잘나지만 성분과 두피에 좋은지는...  
,,,,,,,,,,,,40%,0%,0%,류쟈,  4년 전    ,, 그냥 무난무난해요 좋지도 나쁘지도 , 무난무난해요... 탈모에 효과는 잘..  
,,,,,,,,,,,,60%,0%,0%,오로쥐,  4년 전    ,, 우선 독일에서 유명하고 카페인 샴푸로써 전통?이있는거같은데요 사용했을때 특별히 나쁜점은 없었습니다 가격도 많이 비싼것도 아니였구요 향은 스킨향이라 전 쓸만했어요 개인차가있겠지만요 , 
,,,,,,,,,,,,60%,0%,0%,훈이아빠,  4년 전    ,, 개운한 느낌이 들어서 좋았어요 , 거품이 많이 안나고 약품같은 느낌이 나요  
,,,,,,,,,,,,80%,0%,0%,뿜빵아,  4년 전    ,, 최근에 사용중인제품인데 독일꺼라 아직 불만은없음 , 좋은점을 아직 못 찾음  
,,,,,,,,,,,,60%,0%,0%,드렁큰타이거,  4년 전    ,, 우선 독일에서 유명하고 카페인 샴푸로써 전통?이있는거같은데요 사용했을때 특별히 나쁜점은 없었습니다 가격도 많이 비싼것도 아니였구요 향은 스킨향이라 전 쓸만했어요 개인차가있겠지만요 , 
,,,,,,,,,,,,60%,0%,0%,develop,  4년 전    ,, 4통정도 번갈아가며 써봤는데 시원한 느낌이 좋았습니다. , 머리를 감고나서 이른시간 내에 냄새가 납니다. 저랑은 잘안맞는듯 했어요.  
,,,,,,,,,,,,60%,0%,0%,맛잇는단팥빵,  4년 전    ,, 감을때 시원한느낌이듭니다 , 약품을 머리에바르는느낌이랄까!  
,,,,,,,,,,,,40%,0%,0%,hemeet,  4년 전    ,," 저는 독일 출장갈일이 있어서 3통 구매하여 사용하고 있습니다.
샴푸할때 일반 샴푸와는 다르게 약간 시원한 느낌이 듭니다. ", 먹거나 바르는 약품에 대비해서 효과가 있다고는 느껴지지 않네요....;;;;;  
,,,,,,,,,,,,100%,0%,0%,우이띵,  4년 전    ,," 머리에 열이 많은 편인데, 시원함이 머리 열을 잡아주어 좋았습니다. ", 다만 향이 블루클럽에 민트 ? 샴푸와 비슷한 향이 나서 살짝 ....  
,,,,,,,,,,,,80%,0%,0%,미밴드,  4년 전    ,, 사용중인데 두피가 시원한 감이 좋아요 , 샴푸하고 3분이상 기다려야하는점  
,,,,,,,,,,,,60%,0%,0%,M망주,  4년 전    ,, 세정감이 강해서 사용후에 머리카락이 빳빳해진 듯한 느낌이 들었습니다. , 실제로 굵어지진 않았겠죠 ㅠㅠ  
,,,,,,,,,,,,60%,0%,0%,무내,  4년 전    ,, 청량감이 좋은 샴푸 멘솔샴푸 까진 아닌데 매우 시원 , 향이 개인적으로 좋지 않앗음  
